ID,"Score Date (GMT)",Timestep,Likes,"Average Likes",Comments,"Average Comments",Shares,"Avg Shares",Loves,"Avg Loves",Wows,"Avg Wows",Hahas,"Avg Hahas",Sads,"Avg Sads",Angrys,"Avg Angrys",Cares,"Avg Cares",Reactions,"Avg Reactions","Post Views","Avg Post Views","Total Views","Avg Total Views","Total Views for all Crossposts","Avg Total Views for all Crossposts","Views While Live","Avg Views While Live","Overperforming(+)/Underperforming(-) Score","Post Date (GMT)","2023-02-14 16:00:02",https://www.facebook.com/recordnews/posts/5721131171268408
"5721131171268408	","2023-02-16 22:46:45",48,35011,89,1511,11,4903,11,6335,4,70,4,12,7,7,8,2,5,146,3,41583,108,372143,2433,389751,2480,0,0,0,0,338.0x,,,
"5721131171268408	","2023-02-16 21:24:30",47,34519,67,1494,9,4821,10,6270,4,70,4,11,7,7,8,2,5,143,3,41022,80,365558,1733,382498,1760,0,0,0,0,404.6x,,,
"5721131171268408	","2023-02-16 14:47:55",46,32445,64,1392,9,4490,9,5877,4,67,4,11,7,7,8,2,5,133,3,38542,76,341816,1713,355855,1726,0,0,0,0,393.1x,,,
"5721131171268408	","2023-02-16 12:57:04",45,31564,64,1348,9,4352,9,5698,4,64,4,11,7,7,8,2,5,132,3,37478,76,332980,1713,346127,1726,0,0,0,0,382.1x,,,
"5721131171268408	","2023-02-16 09:16:41",44,29088,63,1254,9,4029,9,5182,4,61,4,10,7,7,8,1,5,123,3,34472,76,306111,1713,317356,1726,0,0,0,0,355.0x,,,
"5721131171268408	","2023-02-16 05:54:55",43,28482,63,1241,9,3927,9,5043,4,59,4,10,7,7,8,1,5,121,3,33723,76,298351,1713,309088,1726,0,0,0,0,347.2x,,,
"5721131171268408	","2023-02-16 02:29:04",42,27459,62,1203,9,3778,9,4834,4,57,4,10,7,7,8,0,5,113,3,32480,75,280554,1713,290491,1726,0,0,0,0,337.5x,,,
"5721131171268408	","2023-02-16 00:32:27",41,24895,61,1102,9,3461,9,4365,4,51,4,9,7,7,8,0,5,106,3,29433,74,238444,1713,245415,1726,0,0,0,0,309.1x,,,
"5721131171268408	","2023-02-15 21:05:23",40,19355,59,891,9,2693,9,3357,4,38,4,7,7,5,8,0,5,79,3,22841,72,176832,1713,180898,1726,0,0,0,0,244.7x,,,
"5721131171268408	","2023-02-15 17:36:39",39,14644,59,652,9,2056,9,2438,4,33,4,7,7,5,8,0,5,58,3,17185,72,125803,1713,128513,1726,0,0,0,0,184.2x,,,
"5721131171268408	","2023-02-15 15:54:51",38,11526,60,498,10,1620,9,1935,4,24,5,7,7,5,7,0,4,46,2,13543,73,94250,1585,97055,1597,0,0,0,0,145.0x,,,
"5721131171268408	","2023-02-15 14:43:14",37,9447,60,398,10,1332,9,1585,4,21,5,6,7,4,7,0,4,36,2,11099,73,79687,1585,81898,1597,0,0,0,0,118.8x,,,
"5721131171268408	","2023-02-15 13:07:40",36,7628,59,312,10,1043,9,1226,4,17,5,6,7,2,7,0,4,30,2,8909,72,64822,1585,65429,1597,0,0,0,0,95.9x,,,
"5721131171268408	","2023-02-15 11:38:37",34,5985,59,225,10,796,8,899,4,15,5,6,7,1,6,0,4,22,2,6928,71,49494,1585,49916,1597,0,0,0,0,75.7x,,,
"5721131171268408	","2023-02-15 10:01:24",33,3945,59,138,10,533,8,554,4,12,5,5,7,1,6,0,4,14,2,4531,71,32479,1585,33243,1597,0,0,0,0,49.5x,,,
"5721131171268408	","2023-02-15 08:25:49",31,2875,59,106,10,401,8,400,4,9,5,4,7,1,6,0,4,10,2,3299,71,24176,1585,24801,1597,0,0,0,0,36.2x,,,
"5721131171268408	","2023-02-15 06:46:38",29,2619,59,103,10,366,8,367,4,8,5,4,7,1,6,0,4,10,2,3009,71,21942,1585,22416,1597,0,0,0,0,33.1x,,,
"5721131171268408	","2023-02-15 05:24:09",28,2524,53,101,10,353,7,352,4,8,5,4,7,1,6,0,4,10,2,2899,68,21028,1585,21577,1597,0,0,0,0,34.2x,,,
"5721131171268408	","2023-02-15 03:51:40",26,2365,53,96,10,332,7,314,4,8,5,4,7,1,6,0,4,10,2,2702,68,19114,1585,19408,1597,0,0,0,0,31.9x,,,
"5721131171268408	","2023-02-15 02:22:48",23,2099,53,91,10,289,7,271,4,8,5,4,7,1,6,0,4,9,2,2392,68,16810,1585,17259,1597,0,0,0,0,28.3x,,,
"5721131171268408	","2023-02-15 00:52:52",20,1862,49,85,10,248,7,231,4,8,5,4,6,1,6,0,4,7,2,2113,63,14560,1388,14914,1396,0,0,0,0,26.3x,,,
"5721131171268408	","2023-02-14 23:21:40",17,1511,48,71,8,202,6,177,3,6,5,4,6,1,6,0,4,6,2,1705,59,11693,1388,11935,1396,0,0,0,0,22.5x,,,
"5721131171268408	","2023-02-14 21:51:07",14,1134,46,54,8,149,6,120,3,6,5,2,6,1,5,0,4,3,2,1266,57,9142,1357,9294,1364,0,0,0,0,17.3x,,,
"5721131171268408	","2023-02-14 20:18:20",11,764,38,43,7,106,6,81,3,3,4,1,6,0,5,0,4,2,2,851,49,6836,1157,6776,1158,0,0,0,0,13.3x,,,
"5721131171268408	","2023-02-14 18:53:12",8,465,30,27,7,57,5,51,3,2,3,1,6,0,5,0,4,1,2,520,37,4052,785,4095,784,0,0,0,0,9.3x,,,
"5721131171268408	","2023-02-14 17:08:50",4,92,20,9,6,13,4,4,2,0,2,0,5,0,4,0,4,0,2,96,25,321,532,299,509,0,0,0,0,2.4x,,,
